SIGNAL_NAME,Lat,Lng
UP MID NEU SEC AHEAD,2157.82490,8316.57080
UP MID BEF HOME,2157.99950,8316.30620
UP MID L XING:298,2158.27030,8315.89660
UP MID BEF STR,2158.56810,8315.44720
UP MID L XING:299,2158.61170,8315.38130
UP MID BEF ADV STR,2158.65600,8315.31420
UP MID GATE DIST,2158.92120,8314.91290
UP MID GATE INNR DIST,2159.24580,8314.42200
UP MID GATE SIG,2159.55630,8313.95200
UP MID L XING:301,2159.61210,8313.86760
UP MID SPGCL HOME,2159.82190,8313.54970
UP MID SPGCL STR,2200.02750,8312.69440
UP MID SPGCL ADV STR,2200.00510,8312.59590
UP MID L XING:303,2159.96610,8312.48090
UP MID ROB INNR DIST,2159.71070,8311.95800
UP MID ROB HOME,2159.48880,8311.48020
UP MID L XING:305,2159.44990,8311.36540
UP MID ROB STR,2159.37300,8310.78790
UP MID ROB INT STR,2159.40470,8310.62630
UP MID ROB ADV STR,2159.51660,8310.28640
UP MID GATE DIST,2159.85740,8308.97870
UP MID NEU SEC AHEAD,2159.88750,8308.40120
UP MID GATE INNR DIST,2159.88640,8308.37320
UP MID GATE SIG,2159.86250,8307.80930
UP MID L XING:311,2159.85630,8307.67040
UP MID KHS INNR DIST,2159.76710,8307.22730
UP MID KHS HOME,2159.62980,8306.65200
UP MID KHS STR,2159.45560,8305.89300
